Title,TitleAr,Category,ReadTime,AccentColor,Id,SuggestedFilename
"Understanding Osteoarthritis: The Wear-and-Tear Joint Disease","نفهم خشونة المفاصل: مرض بلى المفصل","Arthritis & Joint Health","5 min","#f59e0b","cms6e2bc900ekc71goovgapl7","article-cms6e2bc900ekc71goovgapl7.png"
"Rheumatoid Arthritis: When the Immune System Attacks the Joints","الروماتويد: لما جهاز المناعة يهاجم المفاصل","Arthritis & Joint Health","5 min","#f59e0b","cms6e2bch00emc71gqzrdr1zy","article-cms6e2bch00emc71gqzrdr1zy.png"
"Gout: The Painful Arthritis Linked to Uric Acid","النقرس: التهاب المفاصل المؤلم المرتبط بحمض اليوريك","Arthritis & Joint Health","5 min","#f59e0b","cms6e2bcq00eoc71gp0s0xy8a","article-cms6e2bcq00eoc71gp0s0xy8a.png"
"Protecting Your Joints: Everyday Habits for Lifelong Mobility","احمي مفاصلك: عادات يومية عشان تفضل تتحرك طول عمرك","Arthritis & Joint Health","4 min","#f59e0b","cms6e2bcz00eqc71gwdwv0wju","article-cms6e2bcz00eqc71gwdwv0wju.png"
"Living Well With Chronic Arthritis Pain","تعيش كويس مع ألم التهاب المفاصل المزمن","Arthritis & Joint Health","4 min","#f59e0b","cms6e2bd800esc71g1lvwrya5","article-cms6e2bd800esc71g1lvwrya5.png"
"Low Back Pain: Causes and What Usually Helps","ألم أسفل الضهر: الأسباب وإيه اللي بيساعد غالبًا","Back Pain & Spine Conditions","5 min","#f59e0b","cms6e2bds00evc71gzi3nvmgp","article-cms6e2bds00evc71gzi3nvmgp.png"
"Herniated Discs Explained","الانزلاق الغضروفي بشكل مبسّط","Back Pain & Spine Conditions","5 min","#f59e0b","cms6e2be100exc71g1g02nh1i","article-cms6e2be100exc71g1g02nh1i.png"
"Sciatica: Why Leg Pain Often Starts in the Back","عرق النسا: ليه ألم الرجل بيبدأ غالبًا من الضهر","Back Pain & Spine Conditions","4 min","#f59e0b","cms6e2bec00ezc71g8x888f50","article-cms6e2bec00ezc71g8x888f50.png"
"Building a Back-Friendly Posture and Workspace","قعدة ومكان شغل مريحين لضهرك","Back Pain & Spine Conditions","4 min","#f59e0b","cms6e2bep00f1c71g972axtob","article-cms6e2bep00f1c71g972axtob.png"
"Spinal Stenosis in Older Adults","تضيّق القناة الفقرية عند كبار السن","Back Pain & Spine Conditions","5 min","#f59e0b","cms6e2bew00f3c71gy109hvaf","article-cms6e2bew00f3c71gy109hvaf.png"
"Understanding Blood Pressure Numbers","نفهم أرقام الضغط","Blood Pressure","4 min","#ef4444","cms6e2bff00f6c71gcfv6sbcg","article-cms6e2bff00f6c71gcfv6sbcg.png"
"Hypertension: The Silent Threat to Your Arteries","ارتفاع الضغط: الخطر الصامت على شرايينك","Blood Pressure","5 min","#ef4444","cms6e2bfm00f8c71gzy2nkam5","article-cms6e2bfm00f8c71gzy2nkam5.png"
"Lowering Blood Pressure Through Diet","تنزيل الضغط عن طريق الأكل","Blood Pressure","4 min","#ef4444","cms6e2bfu00fac71gkfptgwrn","article-cms6e2bfu00fac71gkfptgwrn.png"
"Home Blood Pressure Monitoring Done Right","قياس الضغط في البيت بالطريقة الصح","Blood Pressure","4 min","#ef4444","cms6e2bg100fcc71gqb79srg6","article-cms6e2bg100fcc71gqb79srg6.png"
