Title,TitleAr,Coach,Level,AccentColor,Id,SuggestedFilename
"7-Day Rejuvenating Yoga Series","سلسلة يوجا للتجديد في 7 أيام","Cole Chance","","#0d9488","cms6e299v0006c71g28d7lut9","program-cms6e299v0006c71g28d7lut9.png"
"Pregnancy Yoga","يوجا الحمل","Cole Chance","","#f472b6","cms6e29b8000mc71grd7ss21z","program-cms6e29b8000mc71grd7ss21z.png"
"Yin Yoga & Poetry","يين يوجا وشعر","Cole Chance","","#0d9488","cms6e29ci0010c71gz0zdgib4","program-cms6e29ci0010c71gz0zdgib4.png"
"First Program","البرنامج الأول","Abou El Naga","BEGINNER","#f97316","cms6e29ej001fc71gyp9g2ci4","program-cms6e29ej001fc71gyp9g2ci4.png"
"Second Program","البرنامج التاني","Abou El Naga","BEGINNER","#f97316","cms6e29g3001rc71gm0fxeh8g","program-cms6e29g3001rc71gm0fxeh8g.png"
"Third Program","البرنامج التالت","Abou El Naga","BEGINNER","#f97316","cms6e29hi0023c71g9asjoccx","program-cms6e29hi0023c71g9asjoccx.png"
"First Program","البرنامج الأول","Abou El Naga","INTERMEDIATE","#f97316","cms6e29j5002fc71gyax0s9cr","program-cms6e29j5002fc71gyax0s9cr.png"
"Second Program","البرنامج التاني","Abou El Naga","INTERMEDIATE","#f97316","cms6e29kx002tc71gqt2e1yv5","program-cms6e29kx002tc71gqt2e1yv5.png"
"Third Program","البرنامج التالت","Abou El Naga","INTERMEDIATE","#f97316","cms6e29mm0035c71g47w8f2ns","program-cms6e29mm0035c71g47w8f2ns.png"
"First Program","البرنامج الأول","Abou El Naga","ADVANCED","#f97316","cms6e29og003jc71gerd2uc5x","program-cms6e29og003jc71gerd2uc5x.png"
"Second Program","البرنامج التاني","Abou El Naga","ADVANCED","#f97316","cms6e29pr003xc71gfz75xz8p","program-cms6e29pr003xc71gfz75xz8p.png"
"Third Program","البرنامج التالت","Abou El Naga","ADVANCED","#f97316","cms6e29r30049c71gcx1cjih2","program-cms6e29r30049c71gcx1cjih2.png"
